,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
0,1,1,CIN,Joe Burrow\BurrJo01,QB,23.0,2021.0,0,0,2,22.0,22.0,26.0,630.0,924.0,7299.0,47.0,19.0,77.0,260.0,5.0,0.0,0.0,0.0,1.0,,,LSU,College Stats,1,3000.0,Jacksonville Jaguars,2022.0,1.0,22.0,21.6,0.3999999999999986,0.01851851851851845,"Sep 16, 2020",SNOW,Snowflake Inc.,120.0,173.46,0.445,Information Technology,IT Services,United States,1,1.0,22.0,21.6,0.3999999999999986,0.01851851851851845
4,1,5,MIA,Tua Tagovailoa\TagoTu00,QB,22.0,2021.0,0,0,2,12.0,12.0,23.0,449.0,678.0,4467.0,27.0,15.0,78.0,237.0,6.0,0.0,0.0,0.0,,,,Alabama,College Stats,1,1700.0,New York Giants,2022.0,0.5666666666666667,6.8,12.24,-0.2400000000000002,-0.01960784313725492,"Dec 3, 2020",DCBO,"Docebo, Inc.",52.21,45.46,-0.129,Technology,Software-Application,United States,1,0.4350833333333333,5.221,9.3978,2.6022,0.27689459235140135
5,1,6,LAC,Justin Herbert\HerbJu00,QB,22.0,2021.0,0,1,2,30.0,30.0,32.0,839.0,1267.0,9350.0,69.0,25.0,118.0,536.0,8.0,0.0,0.0,0.0,1.0,,,Oregon,College Stats,1,1600.0,Carolina Panthers,2022.0,0.5333333333333333,16.0,11.520000000000001,18.479999999999997,1.6041666666666663,"Sep 18, 2020",U,"Unity Software, Inc.",52.0,75.85,0.45899999999999996,Information Technology,Software,United States,1,0.43333333333333335,13.0,9.360000000000001,20.64,2.205128205128205
6,1,7,CAR,Derrick Brown\BrowDe05,DT,22.0,2021.0,0,0,2,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,,5.0,Auburn,College Stats,1,1500.0,New York Giants,2022.0,0.5,6.0,10.8,1.1999999999999993,0.11111111111111104,"Sep 16, 2020",FROG,JFrog Ltd.,44.0,22.61,-0.486,Information Technology,Software,United States,1,0.36666666666666664,4.3999999999999995,7.92,4.08,0.5151515151515151
7,1,8,ARI,Isaiah Simmons\SimmIs00,LB,22.0,2021.0,0,0,1,12.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,2.0,3.5,Clemson,College Stats,1,1400.0,Atlanta Falcons,2022.0,0.4666666666666667,5.6,10.08,1.92,0.19047619047619047,"Dec 9, 2020",AI,"C3.ai, Inc.",42.0,17.67,-0.579,Information Technology,Software,United States,1,0.35,4.199999999999999,7.56,4.44,0.5873015873015874
9,1,10,CLE,Jedrick Wills Jr.\WillJe04,T,21.0,2021.0,0,0,2,14.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Alabama,College Stats,1,1300.0,New York Jets,2022.0,0.43333333333333335,6.066666666666666,9.360000000000001,4.639999999999999,0.4957264957264955,"Jul 14, 2020",NCNO,"nCino, Inc.",31.0,37.11,0.19699999999999998,Information Technology,Software,United States,1,0.25833333333333336,3.616666666666667,5.580000000000001,8.419999999999998,1.508960573476702
11,1,12,LVR,Henry Ruggs III\RuggHe00,WR,21.0,2021.0,0,0,1,8.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,0.0,50.0,921.0,4.0,,,,Alabama,College Stats,1,1200.0,Minnesota Vikings,2022.0,0.4,3.2,8.64,-0.6400000000000006,-0.07407407407407414,"Nov 24, 2020",OZON,Ozon Holdings PLC,30.0,11.6,-0.613,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.25,2.0,5.4,2.5999999999999996,0.4814814814814814
12,1,13,TAM,Tristan Wirfs\WirfTr00,T,21.0,2021.0,1,1,2,27.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Iowa,College Stats,1,1150.0,Cleveland Browns,2022.0,0.38333333333333336,10.350000000000001,8.280000000000001,18.72,2.2608695652173907,"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,20.11,-0.307,Financials,Insurance,United States,1,0.24166666666666667,6.525,5.220000000000001,21.78,4.172413793103448
13,1,14,SFO,Javon Kinlaw\KinlJa00,DT,22.0,2021.0,0,0,1,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.5,South Carolina,College Stats,1,1100.0,Baltimore Ravens,2022.0,0.36666666666666664,3.3,7.92,1.08,0.13636363636363638,"Jun 16, 2020",RPRX,Royalty Pharma PLC,28.0,42.82,0.529,Health Care,Pharmaceuticals,United States,1,0.23333333333333334,2.1,5.04,3.96,0.7857142857142857
14,1,15,DEN,Jerry Jeudy\JeudJe00,WR,21.0,2021.0,0,0,1,10.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,90.0,1323.0,3.0,,,,Alabama,College Stats,1,1050.0,Philadelphia Eagles,2022.0,0.35,3.5,7.56,2.4400000000000004,0.32275132275132284,"Feb 6, 2020",PPD,"PPD, Inc.",27.0,47.28,0.7509999999999999,Health Care,Life Sciences Tools & Services,United States,1,0.225,2.25,4.86,5.14,1.0576131687242798
15,1,16,ATL,AJ Terrell\TerrAJ00,CB,21.0,2021.0,0,0,2,15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,4.0,1.0,Clemson,College Stats,1,1000.0,Philadelphia Eagles,2022.0,0.3333333333333333,5.0,7.2,7.8,1.0833333333333333,"Sep 15, 2020",OM,"Outset Medical, Inc.",27.0,37.8,0.4,Health Care,Medical Devices,United States,1,0.225,3.375,4.86,10.14,2.0864197530864197
16,1,17,DAL,CeeDee Lamb\LambCe00,WR,21.0,2021.0,0,1,2,19.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,158.0,1.0,153.0,2037.0,11.0,2.0,,,Oklahoma,College Stats,1,950.0,Los Angeles Chargers,2022.0,0.31666666666666665,6.016666666666667,6.84,12.16,1.777777777777778,"Aug 14, 2020",DCT,"Duck Creek Technologies, Inc.",27.0,15.91,-0.41100000000000003,Information Technology,Software,United States,1,0.225,4.275,4.86,14.14,2.9094650205761314
17,1,18,MIA,Austin Jackson\JackAu00,T,21.0,2021.0,0,0,2,13.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,USC,College Stats,1,900.0,New Orleans Saints,2022.0,0.3,3.9,6.48,6.52,1.0061728395061726,"Oct 21, 2020",MSP,Datto Holding Corp.,27.0,34.685,0.285,Information Technology,Software,United States,1,0.225,2.9250000000000003,4.86,8.14,1.6748971193415638
19,1,20,JAX,K'Lavon Chaisson\ChaiKL00,DE,21.0,2021.0,0,0,0,6.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,2.0,LSU,College Stats,1,850.0,Pittsburgh Steelers,2022.0,0.2833333333333333,1.7,6.12,-0.1200000000000001,-0.01960784313725492,"Nov 20, 2020",MRVI,"Maravai LifeSciences Holdings, Inc.",27.0,32.805,0.215,Health Care,Biotechnology,United States,1,0.225,1.35,4.86,1.1399999999999997,0.23456790123456783
20,1,21,PHI,Jalen Reagor\ReagJa00,WR,21.0,2021.0,0,0,2,7.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,0.0,64.0,695.0,3.0,2.0,,,TCU,College Stats,1,800.0,New England Patriots,2022.0,0.26666666666666666,1.8666666666666667,5.760000000000001,1.2399999999999993,0.21527777777777762,"Jul 22, 2020",JAMF,Jamf Holding Corporation,26.0,30.16,0.16,Information Technology,Software,United States,1,0.21666666666666667,1.5166666666666666,4.680000000000001,2.3199999999999994,0.4957264957264955
21,1,22,MIN,Justin Jefferson\JeffJu00,WR,21.0,2021.0,0,2,2,25.0,25.0,33.0,2.0,4.0,35.0,0.0,0.0,7.0,16.0,0.0,196.0,3016.0,17.0,,,,LSU,College Stats,1,780.0,Las Vegas Raiders,2022.0,0.26,6.5,5.6160000000000005,19.384,3.451566951566951,"Jan 31, 2020",REYN,Reynolds Consumer Products Inc.,26.0,30.395,0.16899999999999998,Consumer Cyclical,Packaging & Containers,United States,1,0.21666666666666667,5.416666666666667,4.680000000000001,20.32,4.3418803418803416
22,1,23,LAC,Kenneth Murray\MurrKe00,LB,21.0,2021.0,0,0,1,10.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,1.0,Oklahoma,College Stats,1,760.0,Arizona Cardinals,2022.0,0.25333333333333335,2.5333333333333337,5.472,4.528,0.8274853801169589,"Dec 10, 2020",PCPC,Periphas Capital Partnering Corporation,25.0,24.59,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States,1,0.20833333333333334,2.0833333333333335,4.500000000000001,5.499999999999999,1.2222222222222219
23,1,24,NOR,Cesar Ruiz\RuizCe00,C,21.0,2021.0,0,0,2,11.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,1,740.0,Dallas Cowboys,2022.0,0.24666666666666667,2.7133333333333334,5.328,5.672,1.0645645645645645,"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,31.39,0.256,Communication Services,Entertainment,United States,1,0.20833333333333334,2.291666666666667,4.500000000000001,6.499999999999999,1.444444444444444
24,1,25,SFO,Brandon Aiyuk\AiyuBr00,WR,22.0,2021.0,0,0,2,13.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,2.0,116.0,1574.0,10.0,,,,Arizona St.,College Stats,1,720.0,Buffalo Bills,2022.0,0.24,3.12,5.184,7.816,1.507716049382716,"Sep 16, 2020",ENPC,Executive Network Partnering Corporation,25.0,9.89,-0.604,Financial Services,Shell Companies,United States,1,0.20833333333333334,2.7083333333333335,4.500000000000001,8.5,1.8888888888888886
26,1,27,SEA,Jordyn Brooks\BrooJo01,LB,22.0,2021.0,0,0,1,11.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,,1.0,Texas Tech,College Stats,1,680.0,Tampa Bay Buccaneers,2022.0,0.22666666666666666,2.493333333333333,4.896,6.104,1.2467320261437909,"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,5.92,-0.753,Health Care,Pharmaceuticals,United States,1,0.2,2.2,4.32,6.68,1.546296296296296
27,1,28,BAL,Patrick Queen\QueePa00,LB,21.0,2021.0,0,0,2,18.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,5.0,LSU,College Stats,1,660.0,Green Bay Packers,2022.0,0.22,3.96,4.752000000000001,13.248,2.787878787878787,"Dec 16, 2020",WISH,"ContextLogic, Inc.",24.0,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.2,3.6,4.32,13.68,3.1666666666666665
30,1,31,MIN,Jeff Gladney\GladJe00,CB,23.0,2020.0,0,0,1,5.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,,TCU,College Stats,1,600.0,Cincinnati Bengals,2022.0,0.2,1.0,4.32,0.6799999999999997,0.15740740740740733,"Jun 12, 2020",AZEK,"The AZEK Company, Inc.",23.0,22.5,-0.022000000000000002,Industrials,Building Products,United States,1,0.19166666666666668,0.9583333333333334,4.140000000000001,0.8599999999999994,0.20772946859903366
31,1,32,KAN,Clyde Edwards-Helaire\EdwaCl00,RB,21.0,2021.0,0,0,1,13.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,300.0,1320.0,8.0,55.0,426.0,3.0,,,,LSU,College Stats,1,590.0,Detroit Lions,2022.0,0.19666666666666666,2.5566666666666666,4.248,8.751999999999999,2.060263653483992,"Jun 5, 2020",LEGN,Legend Biotech Corporation,23.0,38.65,0.68,Health Care,Biotechnology,United States,1,0.19166666666666668,2.4916666666666667,4.140000000000001,8.86,2.1400966183574877
32,2,33,CIN,Tee Higgins\HiggTe00,WR,21.0,2021.0,0,0,2,17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,141.0,1999.0,12.0,1.0,,,Clemson,College Stats,2,580.0,Jacksonville Jaguars,2022.0,0.19333333333333333,3.2866666666666666,4.176,12.824,3.07088122605364,"Nov 20, 2020",SHC,Sotera Health Company,23.0,21.28,-0.075,Health Care,Diagnostics & Research,United States,2,0.19166666666666668,3.2583333333333337,4.140000000000001,12.86,3.1062801932367146
33,2,34,IND,Michael Pittman Jr.\PittMi01,WR,22.0,2021.0,0,0,2,17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,70.0,0.0,128.0,1585.0,7.0,1.0,,,USC,College Stats,2,560.0,Detroit Lions,2022.0,0.18666666666666668,3.1733333333333333,4.032,12.968,3.2162698412698414,"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23.0,12.19,-0.47,Health Care,Biotechnology,United States,2,0.19166666666666668,3.2583333333333337,4.140000000000001,12.86,3.1062801932367146
34,2,35,DET,D'Andre Swift\SwifDA00,RB,21.0,2021.0,0,0,0,13.0,13.0,26.0,0.0,1.0,0.0,0.0,0.0,265.0,1138.0,13.0,108.0,809.0,4.0,,,,Georgia,College Stats,2,550.0,New York Jets,2022.0,0.18333333333333332,2.3833333333333333,3.96,9.04,2.2828282828282824,"Dec 11, 2020",CERT,"Certara, Inc.",23.0,20.19,-0.122,Health Care,Health Information Services,United States,2,0.19166666666666668,2.4916666666666667,4.140000000000001,8.86,2.1400966183574877
35,2,36,NYG,Xavier McKinney\McKiXa00,S,21.0,2021.0,0,0,1,9.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,,Alabama,College Stats,2,540.0,New York Giants,2022.0,0.18,1.6199999999999999,3.888,5.112,1.3148148148148149,"Jul 17, 2020",BLI,"Berkeley Lights, Inc.",22.0,5.33,-0.758,Health Care,Life Sciences Tools & Services,United States,2,0.18333333333333332,1.65,3.96,5.04,1.2727272727272727
36,2,37,NWE,Kyle Dugger\DuggKy00,S,24.0,2021.0,0,0,1,9.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,4.0,,Lenoir-Rhyne,,2,530.0,Houston Texans,2022.0,0.17666666666666667,1.59,3.8160000000000003,5.183999999999999,1.3584905660377355,"Jul 1, 2020",DNB,"Dun & Bradstreet Holdings, Inc.",22.0,16.725,-0.24,Industrials,Professional Services,United States,2,0.18333333333333332,1.65,3.96,5.04,1.2727272727272727
