,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
0,"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",22.0,175.11,6.96,Information Technology,Software,United States,1,23
1,"Jul 25, 2019",LVGO,Livongo Health,28.0,139.77,1.3980000000000001,,,,1,9
2,"Jun 13, 2019",FVRR,Fiverr International Ltd.,21.0,55.21,1.629,Consumer Discretionary,Internet & Direct Marketing Retail,Israel,1,27
3,"Sep 12, 2019",SDC,"SmileDirectClub, Inc.",23.0,2.03,-0.912,Health Care,Health Care Equipment & Supplies,United States,1,19
4,"Jun 20, 2019",WORK,"Slack Technologies, Inc.",26.0,45.2,0.452,,,,1,15
5,"Sep 18, 2019",NVST,Envista Holdings Corporation,22.0,43.39,0.972,Health Care,Health Care Equipment & Supplies,United States,1,25
6,"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",17.0,182.98,9.764,Health Care,Health Care Equipment & Supplies,United States,2,52
7,"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",16.0,123.75,6.734,Health Care,Biotechnology,United States,2,64
8,"Sep 13, 2019",SWTX,"Springworks Therapeutics, Inc.",18.0,47.97,1.665,Health Care,Biotechnology,United States,2,41
9,"Apr 18, 2019",GNLN,"Greenlane Holdings, Inc.",17.0,0.379,-0.978,Consumer Discretionary,Distributors,United States,2,57
10,"Oct 10, 2019",BNTX,BioNTech SE,15.0,146.61,8.774,Health Care,Biotechnology,Germany,3,87
11,"Apr 17, 2019",PLMR,"Palomar Holdings, Inc.",15.0,57.285,2.819,Financials,Insurance,United States,3,83
12,"Nov 7, 2019",SI,Silvergate Capital Corporation,12.0,130.15,9.846,Financials,Banks,United States,4,125
13,"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",14.0,54.13,2.866,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,4,106
14,"Jan 31, 2019",NFE,New Fortress Energy Inc.,14.0,40.545,1.896,Energy,"Oil, Gas & Consumable Fuels",United States,4,109
