IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Apr 22, 2022",JCSE,JE Cleantech Holdings Limited,4,17.3,3.325,Machinery,Industrials,Singapore
"Apr 22, 2022",ACON,"Aclarion, Inc.",4.35,2.275,-0.477,Health Care Technology,Health Care,United States
"Apr 20, 2022",YOTA,Yotta Acquisition Corporation,10,10.06,0.006,Blank Check / SPAC,Blank Check / SPAC,United States
"Apr 14, 2022",STSS,"Sharps Technology, Inc.",4.25,1.51,-0.645,Health Care,Medical Instruments & Supplies,United States
"Apr 13, 2022",EE,"Excelerate Energy, Inc.",24,23.48,-0.022,Utilities,Electric Utilities,United States
"Apr 13, 2022",AFAR,Aura FAT Projects Acquisition Corp,10,9.99,-0.001,Blank Check / SPAC,Blank Check / SPAC,Singapore
"Apr 12, 2022",GNS,Genius Group Limited,6,6.32,0.053,Consumer Defensive,Education & Training Services,Singapore
"Apr 7, 2022",DECA,Denali Capital Acquisition Corp.,10,10.05,0.005,Blank Check / SPAC,Blank Check / SPAC,United States
"Apr 1, 2022",MSSA,Metal Sky Star Acquisition Corporation,10,10.06,0.006,Blank Check / SPAC,Blank Check / SPAC,United States
"Apr 1, 2022",XPON,Expion360 Inc.,7,4.49,-0.359,Industrials,Electrical Equipment & Parts,United States
"Mar 31, 2022",RWOD,Redwoods Acquisition Corp.,10,10.16,0.016,Blank Check / SPAC,Blank Check / SPAC,United States
"Mar 31, 2022",RVSN,Rail Vision Ltd.,4.13,1.275,-0.691,Transportation Infrastructure,Industrials,Israel
"Mar 25, 2022",ANTX,"AN2 Therapeutics, Inc.",15,14.54,-0.031,Biotechnology,Health Care,United States
"Mar 25, 2022",LCFY,Locafy Limited,4.13,1.265,-0.694,Communication Services,Internet Content & Information,Australia
"Mar 24, 2022",RFAC,RF Acquisition Corp.,10,10.165,0.017,Blank Check / SPAC,Blank Check / SPAC,Singapore
"Mar 17, 2022",GDST,Goldenstone Acquisition Limited,10,10.21,0.021,Blank Check / SPAC,Blank Check / SPAC,United States
"Mar 15, 2022",AKAN,Akanda Corp.,4,11.242,1.811,Health Care,Drug Manufacturers-Specialty & Generic,United Kingdom
"Mar 11, 2022",NUBI,Nubia Brand International Corp.,10,10.02,0.002,Blank Check / SPAC,Blank Check / SPAC,United States
"Mar 10, 2022",PLAO,Patria Latin American Opportunity Acquisition Corp.,10,10.12,0.012,Blank Check / SPAC,Blank Check / SPAC,Cayman Islands
