,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
19,"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20.0,76.24,2.812,Financials,Consumer Finance,United States,2,61
413,"Jun 4, 2020",ZI,"ZoomInfo Technologies, Inc.",21.0,49.47,1.3559999999999999,Communication Services,Interactive Media & Services,United States,2,47
234,"Sep 23, 2020",BSY,"Bentley Systems, Inc.",22.0,42.13,0.915,Technology,Software-Application,United States,2,39
293,"Aug 21, 2020",KYMR,"Kymera Therapeutics, Inc.",20.0,34.16,0.708,Health Care,Biotechnology,United States,2,60
359,"Jul 16, 2020",RLAY,"Relay Therapeutics, Inc.",20.0,28.1,0.405,Health Care,Biotechnology,United States,2,56
218,"Sep 30, 2020",ASAN,"Asana, Inc.",21.0,28.655,0.365,Information Technology,Software,United States,2,50
143,"Oct 22, 2020",MCFE,McAfee Corp.,20.0,25.99,0.299,Information Technology,Software,United States,2,51
52,"Dec 9, 2020",PUBM,"PubMatic, Inc.",20.0,23.125,0.156,Consumer Discretionary,Internet & Direct Marketing Retail,United States,2,63
318,"Aug 6, 2020",OSH,"Oak Street Health, Inc.",21.0,20.57,-0.02,Health Care,Health Care Providers & Services,United States,2,45
86,"Nov 20, 2020",SHC,Sotera Health Company,23.0,21.28,-0.075,Health Care,Diagnostics & Research,United States,2,33
9,"Dec 18, 2020",MASS,"908 Devices, Inc.",20.0,18.25,-0.087,Health Care,Medical Devices,United States,2,57
33,"Dec 11, 2020",CERT,"Certara, Inc.",23.0,20.19,-0.122,Health Care,Health Information Services,United States,2,35
378,"Jul 1, 2020",DNB,"Dun & Bradstreet Holdings, Inc.",22.0,16.725,-0.24,Industrials,Professional Services,United States,2,37
309,"Aug 13, 2020",BEKE,"KE Holdings, Inc.",20.0,12.095,-0.395,Real Estate,Real Estate Management & Development,China,2,55
391,"Jun 19, 2020",RPTX,"Repare Therapeutics, Inc.",20.0,11.96,-0.402,Health Care,Biotechnology,United States,2,62
331,"Jul 31, 2020",VITL,"Vital Farms, Inc.",22.0,12.895,-0.414,Consumer Defensive,Farm Products,United States,2,41
375,"Jul 2, 2020",ACCD,"Accolade, Inc.",22.0,11.91,-0.45899999999999996,Health Care,Health Care Technology,United States,2,38
43,"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23.0,12.19,-0.47,Health Care,Biotechnology,United States,2,34
326,"Aug 5, 2020",RXT,"Rackspace Technology, Inc.",21.0,10.06,-0.521,Technology,Software-Infrastructure,United States,2,49
249,"Sep 17, 2020",SUMO,"Sumo Logic, Inc.",22.0,9.705,-0.5589999999999999,Information Technology,Software,United States,2,42
66,"Dec 3, 2020",KNTE,"Kinnate Biopharma, Inc.",20.0,8.315,-0.584,Health Care,Biotechnology,United States,2,54
395,"Jun 19, 2020",FMTX,"Forma Therapeutics Holdings, Inc.",20.0,8.1,-0.595,Health Care,Biotechnology,United States,2,64
385,"Jun 26, 2020",API,"Agora, Inc.",20.0,6.86,-0.657,Information Technology,"Electronic Equipment, Instruments & Components",United States,2,58
285,"Aug 28, 2020",GP,"GreenPower Motor Company, Inc.",20.0,6.48,-0.6759999999999999,Industrials,Machinery,United States,2,52
172,"Oct 15, 2020",ARRY,"Array Technologies, Inc.",22.0,7.05,-0.679,Technology,Solar,United States,2,40
358,"Jul 17, 2020",BLI,"Berkeley Lights, Inc.",22.0,5.33,-0.758,Health Care,Life Sciences Tools & Services,United States,2,36
233,"Sep 24, 2020",TSHA,"Taysha Gene Therapies, Inc.",20.0,4.68,-0.7659999999999999,Health Care,Biotechnology,United States,2,59
65,"Dec 4, 2020",SBTX,"Silverback Therapeutics, Inc.",21.0,3.18,-0.8490000000000001,Health Care,Biotechnology,United States,2,48
240,"Sep 23, 2020",LSF,"Laird Superfood, Inc.",22.0,2.49,-0.887,Consumer Defensive,Packaged Foods,United States,2,43
419,"May 21, 2020",SLQT,"SelectQuote, Inc.",20.0,1.965,-0.902,Financial Services,Insurance Brokers,United States,2,53
405,"Jun 9, 2020",VRM,"Vroom, Inc.",22.0,1.64,-0.925,Consumer Discretionary,Specialty Retail,United States,2,44
362,"Jul 15, 2020",GOCO,"GoHealth, Inc.",21.0,0.742,-0.965,Financial Services,Insurance Brokers,United States,2,46
