,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,62,19,1
7,LAC,Clippers,W,4,47,33,2
23,UTA,Jazz,W,5,46,33,3
24,MEM,Grizzlies,W,7,45,37,0
21,OKL,Thunder,W,6,44,36,2
6,HOU,Rockets,W,3,40,42,0
4,DAL,Mavericks,W,11,37,43,2
5,DEN,Nuggets,W,9,37,43,2
11,MIN,Timberwolves,W,13,37,40,5
18,POR,Trail Blazers,W,8,37,45,0
2,NOP,Pelicans,W,10,35,44,3
19,SAC,Kings,W,12,31,48,3
8,LAL,Lakers,W,14,29,53,0
17,PHX,Suns,W,15,23,53,6
22,TOR,Raptors,E,3,58,21,3
25,WAS,Wizards,E,4,50,30,2
15,IND,Pacers,E,7,48,32,2
3,CHI,Bulls,E,8,44,36,2
26,DET,Pistons,E,10,44,37,1
28,CLE,Cavaliers,E,2,43,36,3
13,NYK,Knicks,E,12,41,37,4
10,MIL,Bucks,E,6,40,39,3
1,BOS,Celtics,E,1,38,42,2
27,CHA,Hornets,E,11,38,42,2
0,ATL,Hawks,E,5,37,41,4
9,MIA,Heat,E,9,36,43,3
14,ORL,Magic,E,13,31,49,2
16,PHI,76ers,E,14,18,59,5
12,BRO,Nets,E,15,13,68,1
