,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,63,18,1
7,LAC,Clippers,W,4,50,31,1
23,UTA,Jazz,W,5,48,33,1
21,OKL,Thunder,W,6,46,36,0
6,HOU,Rockets,W,3,44,37,1
18,POR,Trail Blazers,W,8,41,41,0
24,MEM,Grizzlies,W,7,41,41,0
11,MIN,Timberwolves,W,13,39,42,1
5,DEN,Nuggets,W,9,37,44,1
4,DAL,Mavericks,W,11,35,45,2
2,NOP,Pelicans,W,10,33,47,2
19,SAC,Kings,W,12,31,49,2
8,LAL,Lakers,W,14,25,55,2
17,PHX,Suns,W,15,25,54,3
22,TOR,Raptors,E,3,55,23,4
28,CLE,Cavaliers,E,2,49,31,2
25,WAS,Wizards,E,4,48,31,3
3,CHI,Bulls,E,8,46,36,0
1,BOS,Celtics,E,1,44,38,0
26,DET,Pistons,E,10,44,35,3
15,IND,Pacers,E,7,42,38,2
0,ATL,Hawks,E,5,41,39,2
13,NYK,Knicks,E,12,39,41,2
10,MIL,Bucks,E,6,38,44,0
27,CHA,Hornets,E,11,38,43,1
9,MIA,Heat,E,9,35,44,3
14,ORL,Magic,E,13,33,48,1
16,PHI,76ers,E,14,19,58,5
12,BRO,Nets,E,15,11,69,2
