,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,63,19,0
6,HOU,Rockets,W,3,52,30,0
23,UTA,Jazz,W,5,52,30,0
7,LAC,Clippers,W,4,51,30,1
21,OKL,Thunder,W,6,46,36,0
5,DEN,Nuggets,W,9,42,38,2
24,MEM,Grizzlies,W,7,41,38,3
18,POR,Trail Blazers,W,8,40,41,1
4,DAL,Mavericks,W,11,33,48,1
2,NOP,Pelicans,W,10,32,48,2
11,MIN,Timberwolves,W,13,31,49,2
19,SAC,Kings,W,12,30,51,1
8,LAL,Lakers,W,14,25,56,1
17,PHX,Suns,W,15,22,56,4
1,BOS,Celtics,E,1,51,28,3
28,CLE,Cavaliers,E,2,51,30,1
22,TOR,Raptors,E,3,50,30,2
25,WAS,Wizards,E,4,47,33,2
0,ATL,Hawks,E,5,42,38,2
3,CHI,Bulls,E,8,41,41,0
10,MIL,Bucks,E,6,41,39,2
15,IND,Pacers,E,7,41,41,0
9,MIA,Heat,E,9,40,40,2
26,DET,Pistons,E,10,36,44,2
27,CHA,Hornets,E,11,36,46,0
13,NYK,Knicks,E,12,33,45,4
14,ORL,Magic,E,13,29,51,2
16,PHI,76ers,E,14,24,56,2
12,BRO,Nets,E,15,20,61,1
