,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,63,16,3
7,LAC,Clippers,W,4,53,28,1
6,HOU,Rockets,W,3,50,31,1
23,UTA,Jazz,W,5,47,33,2
21,OKL,Thunder,W,6,44,34,4
24,MEM,Grizzlies,W,7,41,41,0
18,POR,Trail Blazers,W,8,40,41,1
5,DEN,Nuggets,W,9,39,39,4
11,MIN,Timberwolves,W,13,37,43,2
2,NOP,Pelicans,W,10,33,46,3
4,DAL,Mavericks,W,11,33,46,3
19,SAC,Kings,W,12,33,49,0
8,LAL,Lakers,W,14,24,58,0
17,PHX,Suns,W,15,21,59,2
22,TOR,Raptors,E,3,53,26,3
1,BOS,Celtics,E,1,51,29,2
28,CLE,Cavaliers,E,2,48,31,3
25,WAS,Wizards,E,4,46,34,2
3,CHI,Bulls,E,8,42,38,2
15,IND,Pacers,E,7,42,39,1
9,MIA,Heat,E,9,40,40,2
10,MIL,Bucks,E,6,40,41,1
0,ATL,Hawks,E,5,38,42,2
13,NYK,Knicks,E,12,38,43,1
26,DET,Pistons,E,10,38,43,1
27,CHA,Hornets,E,11,35,45,2
14,ORL,Magic,E,13,30,51,1
16,PHI,76ers,E,14,23,56,3
12,BRO,Nets,E,15,15,66,1
