,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,16,0
20,SAS,Spurs,W,2,62,19,1
6,HOU,Rockets,W,3,51,30,1
7,LAC,Clippers,W,4,51,30,1
23,UTA,Jazz,W,5,50,32,0
21,OKL,Thunder,W,6,45,36,1
5,DEN,Nuggets,W,9,42,38,2
18,POR,Trail Blazers,W,8,41,40,1
24,MEM,Grizzlies,W,7,41,40,1
11,MIN,Timberwolves,W,13,33,47,2
2,NOP,Pelicans,W,10,32,49,1
4,DAL,Mavericks,W,11,32,47,3
19,SAC,Kings,W,12,30,49,3
8,LAL,Lakers,W,14,25,56,1
17,PHX,Suns,W,15,21,58,3
1,BOS,Celtics,E,1,53,29,0
28,CLE,Cavaliers,E,2,52,29,1
22,TOR,Raptors,E,3,50,31,1
25,WAS,Wizards,E,4,47,35,0
0,ATL,Hawks,E,5,42,39,1
9,MIA,Heat,E,9,42,39,1
10,MIL,Bucks,E,6,42,39,1
3,CHI,Bulls,E,8,41,39,2
15,IND,Pacers,E,7,40,41,1
27,CHA,Hornets,E,11,37,44,1
13,NYK,Knicks,E,12,36,46,0
26,DET,Pistons,E,10,35,44,3
14,ORL,Magic,E,13,29,52,1
16,PHI,76ers,E,14,24,56,2
12,BRO,Nets,E,15,19,61,2
