,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,68,13,1
20,SAS,Spurs,W,2,62,18,2
7,LAC,Clippers,W,4,49,31,2
23,UTA,Jazz,W,5,48,34,0
21,OKL,Thunder,W,6,46,36,0
6,HOU,Rockets,W,3,43,38,1
24,MEM,Grizzlies,W,7,43,39,0
18,POR,Trail Blazers,W,8,40,42,0
11,MIN,Timberwolves,W,13,39,40,3
4,DAL,Mavericks,W,11,36,44,2
5,DEN,Nuggets,W,9,35,43,4
2,NOP,Pelicans,W,10,32,43,7
19,SAC,Kings,W,12,29,50,3
8,LAL,Lakers,W,14,25,55,2
17,PHX,Suns,W,15,25,53,4
22,TOR,Raptors,E,3,54,25,3
25,WAS,Wizards,E,4,48,32,2
28,CLE,Cavaliers,E,2,47,32,3
3,CHI,Bulls,E,8,46,36,0
26,DET,Pistons,E,10,45,34,3
1,BOS,Celtics,E,1,43,37,2
15,IND,Pacers,E,7,43,38,1
0,ATL,Hawks,E,5,39,39,4
10,MIL,Bucks,E,6,38,43,1
13,NYK,Knicks,E,12,38,41,3
27,CHA,Hornets,E,11,38,43,1
9,MIA,Heat,E,9,33,43,6
14,ORL,Magic,E,13,33,48,1
16,PHI,76ers,E,14,19,58,5
12,BRO,Nets,E,15,12,68,2
