,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,63,17,2
7,LAC,Clippers,W,4,52,28,2
21,OKL,Thunder,W,6,48,32,2
23,UTA,Jazz,W,5,46,33,3
6,HOU,Rockets,W,3,43,37,2
18,POR,Trail Blazers,W,8,41,40,1
24,MEM,Grizzlies,W,7,40,41,1
4,DAL,Mavericks,W,11,38,43,1
5,DEN,Nuggets,W,9,38,43,1
11,MIN,Timberwolves,W,13,38,43,1
2,NOP,Pelicans,W,10,33,46,3
19,SAC,Kings,W,12,32,49,1
8,LAL,Lakers,W,14,26,55,1
17,PHX,Suns,W,15,20,60,2
22,TOR,Raptors,E,3,55,25,2
28,CLE,Cavaliers,E,2,50,31,1
25,WAS,Wizards,E,4,48,32,2
3,CHI,Bulls,E,8,45,37,0
1,BOS,Celtics,E,1,43,35,4
15,IND,Pacers,E,7,43,38,1
26,DET,Pistons,E,10,42,38,2
13,NYK,Knicks,E,12,40,39,3
0,ATL,Hawks,E,5,39,43,0
10,MIL,Bucks,E,6,38,42,2
27,CHA,Hornets,E,11,37,44,1
9,MIA,Heat,E,9,36,40,6
14,ORL,Magic,E,13,30,51,1
16,PHI,76ers,E,14,21,60,1
12,BRO,Nets,E,15,13,68,1
