,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,64,18,0
7,LAC,Clippers,W,4,54,26,2
6,HOU,Rockets,W,3,49,30,3
23,UTA,Jazz,W,5,48,32,2
21,OKL,Thunder,W,6,45,35,2
18,POR,Trail Blazers,W,8,41,41,0
24,MEM,Grizzlies,W,7,41,40,1
5,DEN,Nuggets,W,9,40,39,3
11,MIN,Timberwolves,W,13,35,46,1
2,NOP,Pelicans,W,10,34,47,1
19,SAC,Kings,W,12,33,48,1
4,DAL,Mavericks,W,11,31,47,4
8,LAL,Lakers,W,14,24,56,2
17,PHX,Suns,W,15,20,59,3
22,TOR,Raptors,E,3,52,27,3
1,BOS,Celtics,E,1,50,31,1
28,CLE,Cavaliers,E,2,50,30,2
25,WAS,Wizards,E,4,46,33,3
3,CHI,Bulls,E,8,43,36,3
15,IND,Pacers,E,7,42,40,0
10,MIL,Bucks,E,6,40,40,2
9,MIA,Heat,E,9,39,41,2
0,ATL,Hawks,E,5,38,41,3
27,CHA,Hornets,E,11,37,45,0
13,NYK,Knicks,E,12,36,45,1
26,DET,Pistons,E,10,36,43,3
14,ORL,Magic,E,13,30,51,1
16,PHI,76ers,E,14,23,58,1
12,BRO,Nets,E,15,17,64,1
