,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,65,16,1
20,SAS,Spurs,W,2,63,18,1
7,LAC,Clippers,W,4,53,27,2
6,HOU,Rockets,W,3,51,30,1
23,UTA,Jazz,W,5,48,32,2
21,OKL,Thunder,W,6,44,36,2
18,POR,Trail Blazers,W,8,41,41,0
24,MEM,Grizzlies,W,7,41,41,0
5,DEN,Nuggets,W,9,40,40,2
11,MIN,Timberwolves,W,13,35,44,3
2,NOP,Pelicans,W,10,34,47,1
19,SAC,Kings,W,12,33,48,1
4,DAL,Mavericks,W,11,31,46,5
8,LAL,Lakers,W,14,25,57,0
17,PHX,Suns,W,15,20,60,2
22,TOR,Raptors,E,3,52,28,2
1,BOS,Celtics,E,1,51,30,1
28,CLE,Cavaliers,E,2,50,30,2
25,WAS,Wizards,E,4,46,33,3
3,CHI,Bulls,E,8,44,37,1
15,IND,Pacers,E,7,42,39,1
10,MIL,Bucks,E,6,40,41,1
0,ATL,Hawks,E,5,39,40,3
9,MIA,Heat,E,9,39,40,3
13,NYK,Knicks,E,12,37,44,1
26,DET,Pistons,E,10,36,42,4
27,CHA,Hornets,E,11,36,44,2
14,ORL,Magic,E,13,28,50,4
16,PHI,76ers,E,14,21,56,5
12,BRO,Nets,E,15,16,64,2
