,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,63,16,3
7,LAC,Clippers,W,4,54,27,1
6,HOU,Rockets,W,3,49,32,1
23,UTA,Jazz,W,5,48,33,1
21,OKL,Thunder,W,6,45,34,3
18,POR,Trail Blazers,W,8,40,41,1
24,MEM,Grizzlies,W,7,40,42,0
5,DEN,Nuggets,W,9,38,42,2
11,MIN,Timberwolves,W,13,37,44,1
2,NOP,Pelicans,W,10,34,46,2
4,DAL,Mavericks,W,11,33,48,1
19,SAC,Kings,W,12,32,49,1
8,LAL,Lakers,W,14,23,58,1
17,PHX,Suns,W,15,20,59,3
22,TOR,Raptors,E,3,52,26,4
1,BOS,Celtics,E,1,50,29,3
28,CLE,Cavaliers,E,2,48,30,4
25,WAS,Wizards,E,4,47,34,1
3,CHI,Bulls,E,8,43,36,3
15,IND,Pacers,E,7,43,37,2
10,MIL,Bucks,E,6,39,41,2
26,DET,Pistons,E,10,39,40,3
0,ATL,Hawks,E,5,38,41,3
9,MIA,Heat,E,9,38,41,3
13,NYK,Knicks,E,12,38,42,2
27,CHA,Hornets,E,11,35,44,3
14,ORL,Magic,E,13,31,50,1
16,PHI,76ers,E,14,22,57,3
12,BRO,Nets,E,15,14,66,2
