,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,15,1
20,SAS,Spurs,W,2,62,18,2
7,LAC,Clippers,W,4,54,26,2
6,HOU,Rockets,W,3,51,31,0
23,UTA,Jazz,W,5,49,31,2
21,OKL,Thunder,W,6,44,36,2
5,DEN,Nuggets,W,9,42,38,2
18,POR,Trail Blazers,W,8,42,40,0
24,MEM,Grizzlies,W,7,41,41,0
11,MIN,Timberwolves,W,13,35,46,1
2,NOP,Pelicans,W,10,33,47,2
4,DAL,Mavericks,W,11,33,48,1
19,SAC,Kings,W,12,31,48,3
8,LAL,Lakers,W,14,24,56,2
17,PHX,Suns,W,15,19,61,2
1,BOS,Celtics,E,1,51,29,2
22,TOR,Raptors,E,3,50,30,2
28,CLE,Cavaliers,E,2,50,29,3
25,WAS,Wizards,E,4,44,34,4
3,CHI,Bulls,E,8,43,39,0
15,IND,Pacers,E,7,43,37,2
0,ATL,Hawks,E,5,42,39,1
10,MIL,Bucks,E,6,40,40,2
9,MIA,Heat,E,9,39,42,1
27,CHA,Hornets,E,11,37,45,0
26,DET,Pistons,E,10,36,43,3
13,NYK,Knicks,E,12,34,45,3
14,ORL,Magic,E,13,29,51,2
16,PHI,76ers,E,14,23,56,3
12,BRO,Nets,E,15,17,63,2
