,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,13,3
20,SAS,Spurs,W,2,63,18,1
7,LAC,Clippers,W,4,54,28,0
21,OKL,Thunder,W,6,48,34,0
23,UTA,Jazz,W,5,47,33,2
6,HOU,Rockets,W,3,45,37,0
18,POR,Trail Blazers,W,8,41,40,1
24,MEM,Grizzlies,W,7,39,41,2
4,DAL,Mavericks,W,11,38,42,2
5,DEN,Nuggets,W,9,38,40,4
11,MIN,Timberwolves,W,13,38,43,1
19,SAC,Kings,W,12,33,48,1
2,NOP,Pelicans,W,10,31,48,3
8,LAL,Lakers,W,14,24,55,3
17,PHX,Suns,W,15,20,60,2
22,TOR,Raptors,E,3,52,27,3
28,CLE,Cavaliers,E,2,50,31,1
25,WAS,Wizards,E,4,46,33,3
1,BOS,Celtics,E,1,44,35,3
3,CHI,Bulls,E,8,44,36,2
15,IND,Pacers,E,7,43,38,1
26,DET,Pistons,E,10,43,38,1
13,NYK,Knicks,E,12,41,41,0
0,ATL,Hawks,E,5,40,41,1
10,MIL,Bucks,E,6,39,41,2
27,CHA,Hornets,E,11,37,43,2
9,MIA,Heat,E,9,35,44,3
14,ORL,Magic,E,13,30,51,1
16,PHI,76ers,E,14,22,58,2
12,BRO,Nets,E,15,13,67,2
