,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,62,17,3
7,LAC,Clippers,W,4,54,28,0
21,OKL,Thunder,W,6,48,33,1
23,UTA,Jazz,W,5,48,33,1
6,HOU,Rockets,W,3,45,34,3
18,POR,Trail Blazers,W,8,40,41,1
24,MEM,Grizzlies,W,7,39,41,2
11,MIN,Timberwolves,W,13,38,42,2
5,DEN,Nuggets,W,9,37,41,4
4,DAL,Mavericks,W,11,36,44,2
2,NOP,Pelicans,W,10,32,47,3
19,SAC,Kings,W,12,31,48,3
8,LAL,Lakers,W,14,24,57,1
17,PHX,Suns,W,15,22,59,1
22,TOR,Raptors,E,3,52,26,4
28,CLE,Cavaliers,E,2,49,31,2
25,WAS,Wizards,E,4,46,34,2
1,BOS,Celtics,E,1,44,34,4
15,IND,Pacers,E,7,44,38,0
3,CHI,Bulls,E,8,43,36,3
26,DET,Pistons,E,10,42,38,2
0,ATL,Hawks,E,5,40,41,1
10,MIL,Bucks,E,6,39,39,4
13,NYK,Knicks,E,12,38,41,3
27,CHA,Hornets,E,11,37,43,2
9,MIA,Heat,E,9,35,44,3
14,ORL,Magic,E,13,31,50,1
16,PHI,76ers,E,14,23,58,1
12,BRO,Nets,E,15,14,67,1
