,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,67,14,1
20,SAS,Spurs,W,2,62,17,3
7,LAC,Clippers,W,4,54,26,2
6,HOU,Rockets,W,3,48,32,2
23,UTA,Jazz,W,5,48,34,0
21,OKL,Thunder,W,6,45,34,3
18,POR,Trail Blazers,W,8,41,41,0
5,DEN,Nuggets,W,9,40,40,2
24,MEM,Grizzlies,W,7,40,42,0
11,MIN,Timberwolves,W,13,37,44,1
2,NOP,Pelicans,W,10,34,47,1
4,DAL,Mavericks,W,11,33,47,2
19,SAC,Kings,W,12,32,49,1
8,LAL,Lakers,W,14,23,59,0
17,PHX,Suns,W,15,22,60,0
22,TOR,Raptors,E,3,52,27,3
1,BOS,Celtics,E,1,50,32,0
28,CLE,Cavaliers,E,2,49,29,4
25,WAS,Wizards,E,4,46,33,3
15,IND,Pacers,E,7,44,37,1
3,CHI,Bulls,E,8,43,37,2
26,DET,Pistons,E,10,41,40,1
0,ATL,Hawks,E,5,39,41,2
10,MIL,Bucks,E,6,39,41,2
13,NYK,Knicks,E,12,38,41,3
9,MIA,Heat,E,9,36,44,2
27,CHA,Hornets,E,11,36,43,3
14,ORL,Magic,E,13,30,51,1
16,PHI,76ers,E,14,23,57,2
12,BRO,Nets,E,15,14,67,1
