,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,16,0
20,SAS,Spurs,W,2,62,20,0
6,HOU,Rockets,W,3,52,30,0
7,LAC,Clippers,W,4,51,31,0
23,UTA,Jazz,W,5,50,30,2
21,OKL,Thunder,W,6,46,36,0
5,DEN,Nuggets,W,9,42,39,1
18,POR,Trail Blazers,W,8,41,40,1
24,MEM,Grizzlies,W,7,41,40,1
4,DAL,Mavericks,W,11,33,48,1
2,NOP,Pelicans,W,10,32,49,1
11,MIN,Timberwolves,W,13,32,47,3
19,SAC,Kings,W,12,30,50,2
8,LAL,Lakers,W,14,25,56,1
17,PHX,Suns,W,15,22,57,3
1,BOS,Celtics,E,1,52,29,1
28,CLE,Cavaliers,E,2,52,29,1
22,TOR,Raptors,E,3,51,30,1
25,WAS,Wizards,E,4,47,34,1
10,MIL,Bucks,E,6,42,39,1
0,ATL,Hawks,E,5,41,39,2
3,CHI,Bulls,E,8,41,40,1
15,IND,Pacers,E,7,41,40,1
9,MIA,Heat,E,9,40,40,2
26,DET,Pistons,E,10,36,44,2
27,CHA,Hornets,E,11,36,45,1
13,NYK,Knicks,E,12,34,45,3
14,ORL,Magic,E,13,29,51,2
16,PHI,76ers,E,14,24,56,2
12,BRO,Nets,E,15,20,61,1
